,NAICS,SIC,公司名/CompanyName,公司规模/CompanySize,国家/Country,城市/City,年度税收规模/AnnualRevenue,电子邮件/Email,省份/Province,经营类别/BusinessType,联系人/ContactPerson,联系电话/Phone,详情链接/URL,邮寄地址/MailingAddress,邮政编码/ZIP
10,561730 - Landscaping Services,0782 - Lawn and Garden Services,Shady Tree Landscaping,Large,US,Walpole,Medium,none,"
                                    Walpole, MA                                ",Administrative and Support and Waste Management and Remediation Services,none,none,http://siccode.com/en/business/shady-tree-landscaping-2,none,2081
11,115115 - Farm Labor Contractors and Crew Leaders,0761 - Farm Labor Contractors and Crew Leaders,Weaver Enterprises Ltd,Large,US,Brimfield,Medium,none,"
                                    Brimfield, IL                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/weaver-enterprises-ltd,none,61517
12,561730 - Landscaping Services,0783 - Ornamental Shrub and Tree Services,Monrovia Nursery Co,Large,US,Azusa,Medium,none,"
                                    Azusa, CA                                ",Administrative and Support and Waste Management and Remediation Services,none,none,http://siccode.com/en/business/monrovia-nursery-co,none,91702
13,561730 - Landscaping Services,0782 - Lawn and Garden Services,ValleyCrest Landscape Cos,Large,US,San Diego,Medium,none,"
                                    San Diego, CA                                ",Administrative and Support and Waste Management and Remediation Services,none,none,http://siccode.com/en/business/valleycrest-landscape-cos,none,92121
14,115114 - Postharvest Crop Activities (except Cotton Ginning),"0723 - Crop Preparation Services for Market, except Cotton Ginning",Columbia Fruit Packers Inc,Large,US,Wenatchee,Medium,none,"
                                    Wenatchee, WA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/columbia-fruit-packers-inc,none,98801
15,115114 - Postharvest Crop Activities (except Cotton Ginning),"0723 - Crop Preparation Services for Market, except Cotton Ginning",Bluebird Inc,Large,US,Peshastin,Medium,none,"
                                    Peshastin, WA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/bluebird-inc,none,98847
16,561730 - Landscaping Services,0782 - Lawn and Garden Services,MC Graw Landscaping,Large,US,Columbus,Medium,none,"
                                    Columbus, GA                                ",Administrative and Support and Waste Management and Remediation Services,none,none,http://siccode.com/en/business/mc-graw-landscaping,none,31907
17,561730 - Landscaping Services,0782 - Lawn and Garden Services,Sunshine Landscape,Large,US,Thousand Palms,Medium,none,"
                                    Thousand Palms, CA                                ",Administrative and Support and Waste Management and Remediation Services,none,none,http://siccode.com/en/business/sunshine-landscape,none,92276
18,561730 - Landscaping Services,0783 - Ornamental Shrub and Tree Services,Asplundh Tree Expert Co,Large,US,Tulsa,Medium,none,"
                                    Tulsa, OK                                ",Administrative and Support and Waste Management and Remediation Services,none,none,http://siccode.com/en/business/asplundh-tree-expert-co-26,none,74127
19,561730 - Landscaping Services,0783 - Ornamental Shrub and Tree Services,Asplundh Tree Expert Co,Large,US,Garner,Medium,none,"
                                    Garner, NC                                ",Administrative and Support and Waste Management and Remediation Services,none,none,http://siccode.com/en/business/asplundh-tree-expert-co-27,none,27529
20,115114 - Postharvest Crop Activities (except Cotton Ginning),"0723 - Crop Preparation Services for Market, except Cotton Ginning",Roquette America Inc,Large,US,Keokuk,Medium,none,"
                                    Keokuk, IA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/roquette-america-inc-1,none,52632
21,561730 - Landscaping Services,0782 - Lawn and Garden Services,Tru Green Land Care,Large,US,Austin,Medium,none,"
                                    Austin, TX                                ",Administrative and Support and Waste Management and Remediation Services,none,none,http://siccode.com/en/business/tru-green-land-care-24,none,78757
22,115210 - Support Activities for Animal Production,"0751 - Livestock Services, except Veterinary",Sun Ag Inc Cattle,Large,US,Fellsmere,Medium,none,"
                                    Fellsmere, FL                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/sun-ag-inc-cattle,none,32948
23,"115113 - Crop Harvesting, Primarily by Machine","0722 - Crop Harvesting, Primarily by Machine",Center State Harvesting & Hauling Inc,Large,US,Bartow,Medium,none,"
                                    Bartow, FL                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/center-state-harvesting-hauling-inc,none,33830
24,115115 - Farm Labor Contractors and Crew Leaders,0761 - Farm Labor Contractors and Crew Leaders,Rader Detasseling,Large,US,Trumbull,Medium,none,"
                                    Trumbull, NE                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/rader-detasseling,none,68980
